cat_weight,lgbm_weight,balanced_accuracy,accuracy,f1_score
0.29,0.71,0.9494602319103654,0.9395874149383847,0.8666561088891515
0.3,0.7,0.9494584644002856,0.9394888767809323,0.8664999105087018
0.35000000000000003,0.6499999999999999,0.9494563286876357,0.9390135750802796,0.8657368837681139
0.31,0.69,0.9494559216828026,0.9393816440801753,0.8663208730990699
0.32,0.6799999999999999,0.9494435173441004,0.939275860469969,0.8661500287593865
0.34,0.6599999999999999,0.9494424842319664,0.939112113237732,0.8658875424978308
0.33,0.6699999999999999,0.9494408886926392,0.9392019568518798,0.8660332558004664
0.36,0.64,0.9494307509194925,0.9389208332850303,0.8655809010944902
0.4,0.6,0.9494291491607042,0.9386281169937747,0.8650727886467943
0.37,0.63,0.9494290346505981,0.9388425823952887,0.8654500414568015
0.46,0.54,0.9494177898590749,0.9381760007419344,0.864339485895358
0.41000000000000003,0.59,0.9494164462106106,0.9385484170134824,0.8649369357020419
0.38,0.62,0.9494131691979785,0.9387614333244456,0.8653119232600378
0.28,0.72,0.9494123535923048,0.939698994910794,0.8668315188057073
0.26,0.74,0.9494113492618924,0.9398641912335818,0.8670959195745916
0.43,0.5700000000000001,0.9494113382133841,0.9383875679623468,0.8646689351039059
0.27,0.73,0.9494073195013208,0.9397598567139264,0.8669345107726057
0.42,0.5800000000000001,0.9494072798766844,0.9384643697615377,0.8647870322372895
0.44,0.56,0.9494055227983327,0.9383122152537068,0.8645591407484906
0.39,0.61,0.9493965797791412,0.9386918769780086,0.8651825794610781
0.45,0.55,0.9493954319513075,0.9382325152734144,0.8644334756944682
0.24,0.76,0.9493925853281421,0.9400641657295881,0.8674037116184231
0.47000000000000003,0.53,0.949384600589672,0.9380905043994389,0.8641920909935035
0.25,0.75,0.9493781435468934,0.9399598312099327,0.8672419938659806
0.48,0.52,0.9493708359513162,0.9380281935057558,0.8640920429568978
0.23,0.77,0.9493641663339213,0.9401453148004313,0.8675189135951916
0.22,0.78,0.9493366475917348,0.9402221165996221,0.8676334240819337
0.21,0.79,0.9493155293568502,0.9403221038476253,0.8677907967814344
0.49,0.51,0.9493144110843721,0.9379499426160142,0.8639493077337425
0.2,0.8,0.9493101966544749,0.9404090492806715,0.8679289088767203
0.5,0.5,0.9492853722023115,0.937881835360128,0.8638284803183239
0.18,0.8200000000000001,0.949260234070543,0.94057569469401,0.8681890182599235
0.51,0.49,0.9492530215120293,0.9378253208286479,0.8637247932461282
0.19,0.81,0.9492491674692337,0.9404800547176592,0.8680336579975455
0.17,0.83,0.9492489774568776,0.9406742328514625,0.8683465893067798
0.14,0.86,0.9492379275067577,0.9409075364301365,0.8687329901089719
0.16,0.84,0.9492378701489078,0.9407597291939579,0.8684905833810989
0.13,0.87,0.9492350576017551,0.9410075236781396,0.8689035248375241
0.15,0.85,0.9492276873540368,0.940840878264801,0.8686182699761207
0.12,0.88,0.949213687578804,0.9410799782056781,0.8690116699662087
0.11,0.89,0.9492113802037915,0.941181414544232,0.8691803674815551
0.53,0.47,0.9492074174721958,0.9376876572263247,0.863471176332891
0.52,0.48,0.9491952710382243,0.9377369263050509,0.8635559019486602
0.07,0.9299999999999999,0.9491883001314069,0.9415581780874324,0.8698000648481322
0.06,0.94,0.9491779046591228,0.9416320817055216,0.8699195397847976
0.05,0.95,0.949171297591072,0.9417291707724232,0.8700791183300987
0.54,0.45999999999999996,0.9491705544114623,0.9376195499704385,0.8633419241195646
0.1,0.9,0.9491701376327063,0.941269809067829,0.8693181637748433
0.55,0.44999999999999996,0.9491586266687718,0.9375485445334508,0.8632145809280173
0.09,0.91,0.9491566430296136,0.9413625508630783,0.8694655745969609
0.08,0.92,0.949149272884692,0.9414509453866753,0.8696130591285275
0.03,0.97,0.9491436824831792,0.9418929180046602,0.8703519132081627
0.02,0.98,0.9491416737195578,0.9419682707133004,0.8704796021470061
0.56,0.43999999999999995,0.9491405744679103,0.9374818863681154,0.8630970471439926
0.04,0.96,0.9491322538987611,0.9418030743905125,0.8701927835919209
0.01,0.99,0.9491307157172836,0.9420407252408388,0.8706016852121423
0.5700000000000001,0.42999999999999994,0.9490944365770119,0.9374166772933307,0.8629738446031577
0.0,1.0,0.9490767476338444,0.942103036134522,0.8706864818796204
0.58,0.42000000000000004,0.9490588478819538,0.9373384264035891,0.8628285629514818
0.59,0.41000000000000003,0.9490214222912304,0.9372688700571521,0.8627011422509233
0.6,0.4,0.94900300810726,0.9372080082540197,0.862587738465482
0.61,0.39,0.9489858804194972,0.937137002817032,0.8624562648748295
0.62,0.38,0.9489545792869448,0.9370630991989427,0.8623160197764479
0.63,0.37,0.9489315155573598,0.9370036864863611,0.8622045545342806
0.64,0.36,0.9489294373053564,0.9369312319588227,0.8620559619011957
0.65,0.35,0.9489027857184188,0.9368558792501825,0.8619102921426492
0.66,0.33999999999999997,0.9488946463799618,0.9368080592620072,0.8618137097565257
0.67,0.32999999999999996,0.9488722944860624,0.9367370538250194,0.8616711030581682
0.68,0.31999999999999995,0.948840792806629,0.9366559047541763,0.8615008626634987
0.6900000000000001,0.30999999999999994,0.9488012664016418,0.9365675102305793,0.8613359146601166
0.7000000000000001,0.29999999999999993,0.9487610402915013,0.9364907084313885,0.8611870126726172
0.71,0.29000000000000004,0.9487129900026877,0.9364139066321976,0.8610167744155236
0.72,0.28,0.948705912352493,0.936348697557413,0.8608952936033187
0.73,0.27,0.9486712481705336,0.936266099396019,0.8607283405800586
0.74,0.26,0.9486403090210902,0.9361863994157267,0.8605624776741809
0.75,0.25,0.9485752968986022,0.9360994539826805,0.8603818569110521
